name,simulationIndex,dataset,optimizer,learning rate,momentum,l2,batchSize,iteratorDistribution,maxTestSamples,gar,communicationPattern,behavior,numEpochs,slowdown,joiningLate,iterationsBeforeEvaluation,iterationsBeforeSending,local model poisoning attack,#attackers
Figure 1.2 - average,0,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,1,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,2,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,3,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,4,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,5,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,6,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,7,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - average,8,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Simple average,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,0,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,1,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,2,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,3,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,4,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,5,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,6,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,7,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - median,8,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Median,All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - krum,0,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Krum (b=1),All,Benign,400,-,0,10,1,<none>,0
Figure 1.2 - krum,1,CIFAR-10,Adam,1e-3,<none>,5e-3,32,[250-250-250-250-250-250-250-250-250-250],10,Krum (b=1),All,Benign,400,-,0,10,1,<none>,0
