name,simulationIndex,transfer,dataset,optimizer,learning rate,momentum,l2,batchSize,iteratorDistribution,maxTestSamples,gar,communicationPattern,behavior,numEpochs,slowdown,joiningLate,iterationsBeforeEvaluation,iterationsBeforeSending,local model poisoning attack,#attackers
Figure 4.3 - average - transfer,0,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-10-10-10-0-0-0-0-0-0],10,Simple average,All,Benign,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,1,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-10-10-10-10-0-0-0-0-0],10,Simple average,All,Benign,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,2,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-10-10-10-10-0-0-0-0],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,3,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-10-10-10-10-0-0-0],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,4,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-0-10-10-10-10-0-0],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,5,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-0-0-10-10-10-10-0],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,6,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-0-0-0-10-10-10-10],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,7,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-0-0-0-0-0-0-10-10-10],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,8,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-10-0-0-0-0-0-0-10-10],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - average - transfer,9,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-10-10-0-0-0-0-0-0-10],10,Simple average,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,0,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-10-10-10-0-0-0-0-0-0],10,Median,All,Benign,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,1,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-10-10-10-10-0-0-0-0-0],10,Median,All,Benign,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,2,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-10-10-10-10-0-0-0-0],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,3,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-10-10-10-10-0-0-0],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,4,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-0-10-10-10-10-0-0],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,5,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-0-0-10-10-10-10-0],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,6,true,MNIST,Adam,1e-3,<none>,5e-3,5,[0-0-0-0-0-0-10-10-10-10],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,7,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-0-0-0-0-0-0-10-10-10],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,8,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-10-0-0-0-0-0-0-10-10],10,Median,All,Noise,300,-,0,10,1,<none>,8
Figure 4.3 - median - transfer,9,true,MNIST,Adam,1e-3,<none>,5e-3,5,[10-10-10-0-0-0-0-0-0-10],10,Median,All,Noise,300,-,0,10,1,<none>,8
