name,simulationIndex,dataset,optimizer,learning rate,momentum,l2,batchSize,iteratorDistribution,maxTestSamples,gar,communicationPattern,behavior,numEpochs,slowdown,joiningLate,iterationsBeforeEvaluation,iterationsBeforeSending,local model poisoning attack,#attackers
Figure 4.3 - average,0,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-0-0-0-0-0-0],num_10,average,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,1,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-10-10-10-10-0-0-0-0-0],num_10,average,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,2,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-10-10-10-10-0-0-0-0],num_10,average,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,3,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-10-10-10-10-0-0-0],num_10,average,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,4,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-0-10-10-10-10-0-0],num_10,average,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,5,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-0-0-10-10-10-10-0],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,6,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-0-0-0-10-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,7,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-0-0-0-0-0-0-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,8,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-0-0-0-0-0-0-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,9,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-0-0-0-0-0-0-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,10,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,11,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,12,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,13,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,14,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - average,15,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-0-0-0-0-0-0],num_10,average,all,benign,iter_300,none,n0,10,1,none,num_5
